time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase,subject,box_size,sensor_hand,surface,one_handed_carry
0.01,0.074,7.63,-18.74,-4.03,0.26,-0.95,0.08,Aufheben,David,big,L,table,False
0.022,0.089,7.87,-18.74,-4.64,0.27,-0.96,0.08,Aufheben,David,big,L,table,False
0.034,0.096,8.06,-16.91,-4.21,0.27,-0.96,0.08,Aufheben,David,big,L,table,False
0.046,0.12,6.47,-16.48,-5.25,0.27,-0.95,0.09,Aufheben,David,big,L,table,False
0.058,0.146,6.71,-16.72,-4.82,0.28,-0.96,0.1,Aufheben,David,big,L,table,False
0.07,0.162,6.47,-15.5,-5.68,0.27,-0.96,0.1,Aufheben,David,big,L,table,False
0.082,0.162,8.18,-17.09,-5.74,0.27,-0.96,0.08,Aufheben,David,big,L,table,False
0.094,0.162,7.57,-16.54,-5.49,0.27,-0.94,0.09,Aufheben,David,big,L,table,False
0.106,0.17,8.0,-17.09,-4.82,0.25,-0.96,0.07,Aufheben,David,big,L,table,False
0.118,0.18,7.57,-17.15,-5.13,0.24,-0.95,0.09,Aufheben,David,big,L,table,False
0.13,0.192,8.12,-20.69,-6.16,0.25,-0.96,0.07,Aufheben,David,big,L,table,False
0.142,0.205,8.24,-21.61,-5.37,0.24,-0.97,0.09,Aufheben,David,big,L,table,False
0.154,0.23,8.42,-23.25,-5.49,0.24,-0.96,0.07,Aufheben,David,big,L,table,False
0.166,0.23,6.47,-20.26,-4.09,0.25,-0.95,0.07,Aufheben,David,big,L,table,False
0.178,0.244,6.9,-25.33,-3.48,0.24,-0.94,0.08,Aufheben,David,big,L,table,False
0.19,0.267,6.71,-25.09,-3.42,0.25,-0.95,0.07,Aufheben,David,big,L,table,False
0.202,0.267,6.23,-25.33,-2.38,0.24,-0.97,0.07,Aufheben,David,big,L,table,False
0.214,0.276,6.65,-26.18,-1.83,0.22,-0.99,0.09,Aufheben,David,big,L,table,False
0.226,0.293,6.96,-25.94,-2.44,0.19,-1.0,0.09,Aufheben,David,big,L,table,False
0.238,0.301,7.45,-30.82,-3.3,0.18,-1.01,0.08,Aufheben,David,big,L,table,False
0.25,0.326,7.08,-37.66,-3.11,0.16,-1.0,0.1,Aufheben,David,big,L,table,False
0.262,0.333,6.77,-44.19,-5.07,0.16,-1.03,0.08,Aufheben,David,big,L,table,False
0.274,0.356,8.0,-50.9,-8.97,0.17,-1.08,0.11,Aufheben,David,big,L,table,False
0.286,0.364,11.54,-54.32,-14.28,0.15,-1.14,0.13,Aufheben,David,big,L,table,False
0.298,0.364,14.83,-56.7,-21.73,0.18,-1.15,0.15,Aufheben,David,big,L,table,False
0.31,0.376,20.57,-59.08,-27.89,0.21,-1.2,0.19,Aufheben,David,big,L,table,False
0.322,0.388,29.85,-59.57,-33.45,0.23,-1.25,0.2,Aufheben,David,big,L,table,False
0.334,0.396,39.92,-60.3,-36.38,0.28,-1.29,0.22,Aufheben,David,big,L,table,False
0.346,0.412,52.61,-56.27,-41.08,0.32,-1.27,0.15,Aufheben,David,big,L,table,False
0.358,0.429,65.8,-57.74,-45.96,0.39,-1.27,0.15,Aufheben,David,big,L,table,False
0.37,0.436,79.22,-58.04,-49.93,0.43,-1.25,0.16,Aufheben,David,big,L,table,False
0.382,0.451,89.11,-46.14,-57.8,0.49,-1.32,0.22,Aufheben,David,big,L,table,False
0.394,0.46,99.3,-25.33,-68.3,0.46,-1.22,0.24,Aufheben,David,big,L,table,False
0.406,0.475,104.55,-18.86,-80.2,0.42,-1.23,0.22,Aufheben,David,big,L,table,False
0.418,0.483,114.93,-26.12,-93.2,0.42,-1.17,0.23,Aufheben,David,big,L,table,False
0.43,0.492,120.61,-41.99,-107.3,0.45,-1.1,0.27,Aufheben,David,big,L,table,False
0.442,0.505,125.92,-56.88,-118.41,0.47,-1.06,0.26,Aufheben,David,big,L,table,False
0.454,0.517,125.37,-70.13,-124.51,0.52,-0.95,0.35,Aufheben,David,big,L,table,False
0.466,0.551,121.09,-77.7,-126.46,0.61,-0.9,0.36,Aufheben,David,big,L,table,False
0.478,0.551,113.46,-74.65,-124.21,0.64,-0.76,0.39,Aufheben,David,big,L,table,False
0.49,0.568,106.57,-65.31,-119.38,0.62,-0.7,0.37,Aufheben,David,big,L,table,False
0.502,0.568,100.22,-48.28,-114.44,0.66,-0.65,0.37,Aufheben,David,big,L,table,False
0.514,0.578,98.14,-31.25,-108.28,0.67,-0.6,0.36,Aufheben,David,big,L,table,False
0.526,0.595,92.96,-10.19,-103.21,0.65,-0.55,0.36,Aufheben,David,big,L,table,False
0.538,0.603,93.44,6.16,-99.06,0.63,-0.52,0.4,Aufheben,David,big,L,table,False
0.55,0.611,92.1,16.72,-90.39,0.62,-0.47,0.38,Aufheben,David,big,L,table,False
0.562,0.657,89.54,19.78,-83.19,0.59,-0.46,0.39,Aufheben,David,big,L,table,False
0.574,0.657,87.28,20.63,-74.95,0.56,-0.43,0.42,Aufheben,David,big,L,table,False
0.586,0.657,83.13,21.36,-68.91,0.54,-0.4,0.43,Aufheben,David,big,L,table,False
0.598,0.663,80.32,19.17,-61.58,0.56,-0.4,0.43,Aufheben,David,big,L,table,False
0.61,0.671,74.89,21.61,-53.47,0.59,-0.44,0.39,Aufheben,David,big,L,table,False
0.622,0.689,71.17,26.55,-47.36,0.61,-0.47,0.41,Aufheben,David,big,L,table,False
0.634,0.696,68.54,35.46,-42.36,0.59,-0.46,0.4,Aufheben,David,big,L,table,False
0.646,0.709,66.22,42.18,-38.76,0.55,-0.47,0.42,Aufheben,David,big,L,table,False
0.659,0.743,63.96,42.18,-34.36,0.52,-0.47,0.44,Aufheben,David,big,L,table,False
0.671,0.743,59.63,39.37,-29.91,0.49,-0.47,0.46,Aufheben,David,big,L,table,False
0.683,0.756,56.64,32.41,-24.66,0.5,-0.46,0.43,Aufheben,David,big,L,table,False
0.695,0.769,52.98,24.05,-20.45,0.51,-0.47,0.43,Aufheben,David,big,L,table,False
0.707,0.777,51.51,16.11,-17.15,0.53,-0.51,0.39,Aufheben,David,big,L,table,False
0.719,0.786,49.38,10.99,-13.79,0.53,-0.5,0.38,Aufheben,David,big,L,table,False
0.731,0.794,48.95,6.16,-12.7,0.55,-0.54,0.39,Aufheben,David,big,L,table,False
0.743,0.807,52.67,3.36,-11.29,0.6,-0.55,0.39,Aufheben,David,big,L,table,False
0.755,0.817,54.57,1.53,-10.5,0.6,-0.55,0.37,Aufheben,David,big,L,table,False
0.767,0.837,52.73,-3.85,-8.36,0.6,-0.53,0.33,Aufheben,David,big,L,table,False
0.779,0.846,53.47,-11.35,-7.45,0.58,-0.5,0.36,Aufheben,David,big,L,table,False
0.791,0.858,50.72,-14.59,-5.68,0.59,-0.5,0.38,Aufheben,David,big,L,table,False
0.803,0.869,43.95,-16.72,-4.39,0.58,-0.5,0.41,Aufheben,David,big,L,table,False
0.815,0.877,37.9,-17.15,-1.1,0.53,-0.5,0.46,Aufheben,David,big,L,table,False
0.827,0.892,32.04,-12.15,3.85,0.5,-0.57,0.46,Aufheben,David,big,L,table,False
0.839,0.903,27.34,-9.34,6.53,0.53,-0.56,0.45,Aufheben,David,big,L,table,False
0.851,0.918,26.55,-6.84,9.64,0.55,-0.64,0.41,Aufheben,David,big,L,table,False
0.863,0.927,33.69,-5.98,12.39,0.58,-0.67,0.48,Aufheben,David,big,L,table,False
0.875,0.939,39.98,2.2,17.82,0.62,-0.69,0.51,Aufheben,David,big,L,table,False
0.887,0.948,48.95,12.27,19.35,0.62,-0.7,0.59,Aufheben,David,big,L,table,False
0.899,0.971,57.37,22.16,24.35,0.55,-0.66,0.63,Aufheben,David,big,L,table,False
0.911,0.979,62.56,26.25,31.49,0.47,-0.65,0.61,Aufheben,David,big,L,table,False
0.923,0.988,63.6,25.33,35.71,0.45,-0.63,0.61,Aufheben,David,big,L,table,False
0.935,0.996,63.42,13.92,41.56,0.43,-0.63,0.56,Aufheben,David,big,L,table,False
0.947,1.018,61.65,10.19,44.13,0.52,-0.61,0.58,Aufheben,David,big,L,table,False
0.959,1.04,53.71,16.78,46.45,0.53,-0.57,0.68,Aufheben,David,big,L,table,False
0.971,1.04,39.18,26.12,51.27,0.5,-0.59,0.75,Aufheben,David,big,L,table,False
0.983,1.052,21.79,30.76,55.3,0.39,-0.56,0.77,Aufheben,David,big,L,table,False
0.995,1.072,0.37,24.54,59.45,0.3,-0.57,0.76,Aufheben,David,big,L,table,False
1.007,1.086,-14.4,10.38,58.53,0.3,-0.58,0.68,Aufheben,David,big,L,table,False
1.04,1.102,-29.85,-0.12,51.33,0.46,-0.68,0.66,Aufheben,David,big,L,table,False
1.052,1.114,-37.84,8.91,51.76,0.5,-0.73,0.67,Aufheben,David,big,L,table,False
1.064,1.14,-43.09,15.01,53.22,0.49,-0.74,0.66,Aufheben,David,big,L,table,False
1.076,1.147,-47.73,18.62,51.15,0.42,-0.76,0.63,Aufheben,David,big,L,table,False
1.088,1.17,-47.0,15.44,43.95,0.37,-0.78,0.65,Aufheben,David,big,L,table,False
1.1,1.186,-47.18,13.67,35.34,0.34,-0.76,0.62,Aufheben,David,big,L,table,False
1.112,1.186,-47.42,4.15,25.88,0.32,-0.77,0.61,Aufheben,David,big,L,table,False
1.124,1.198,-47.42,-7.81,19.47,0.33,-0.77,0.59,Aufheben,David,big,L,table,False
1.136,1.205,-45.29,-14.53,14.53,0.36,-0.8,0.59,Aufheben,David,big,L,table,False
1.148,1.211,-39.43,-7.26,13.24,0.42,-0.82,0.58,Aufheben,David,big,L,table,False
1.16,1.222,-32.71,10.86,19.35,0.43,-0.8,0.58,Aufheben,David,big,L,table,False
1.172,1.246,-25.63,23.74,22.22,0.32,-0.76,0.56,Aufheben,David,big,L,table,False
1.184,1.253,-15.69,26.49,17.88,0.24,-0.76,0.57,Aufheben,David,big,L,table,False
1.196,1.264,-11.96,18.13,20.26,0.22,-0.81,0.57,Aufheben,David,big,L,table,False
1.208,1.278,-4.76,7.39,20.87,0.26,-0.79,0.57,Aufheben,David,big,L,table,False
1.22,1.288,-0.85,-3.3,18.68,0.24,-0.78,0.58,Aufheben,David,big,L,table,False
1.232,1.301,-0.31,-10.93,16.72,0.24,-0.78,0.62,Aufheben,David,big,L,table,False
1.244,1.307,-4.03,-17.27,16.24,0.3,-0.76,0.6,Aufheben,David,big,L,table,False
1.256,1.318,-10.25,-14.16,16.05,0.33,-0.76,0.56,Aufheben,David,big,L,table,False
1.268,1.349,-14.4,-2.26,17.09,0.36,-0.79,0.57,Aufheben,David,big,L,table,False
1.28,1.356,-10.13,5.49,18.31,0.29,-0.81,0.57,Aufheben,David,big,L,table,False
1.292,1.356,-0.61,7.87,16.66,0.3,-0.84,0.62,Aufheben,David,big,L,table,False
1.304,1.367,9.77,12.63,18.49,0.33,-0.83,0.61,Aufheben,David,big,L,table,False
1.316,1.388,13.24,15.81,18.43,0.27,-0.77,0.61,Aufheben,David,big,L,table,False
1.328,1.396,13.0,10.38,17.7,0.25,-0.73,0.59,Aufheben,David,big,L,table,False
1.34,1.403,8.97,3.91,20.51,0.24,-0.72,0.57,Aufheben,David,big,L,table,False
1.352,1.414,2.2,-9.52,22.77,0.2,-0.7,0.57,Aufheben,David,big,L,table,False
1.364,1.428,-13.37,-17.58,21.67,0.21,-0.74,0.55,Aufheben,David,big,L,table,False
1.376,1.438,-19.71,-12.27,18.07,0.38,-0.91,0.52,Aufheben,David,big,L,table,False
1.388,1.453,-11.96,10.93,17.09,0.39,-0.92,0.52,Aufheben,David,big,L,table,False
1.4,1.463,3.23,28.63,5.98,0.31,-0.89,0.58,Aufheben,David,big,L,table,False
1.412,1.484,7.32,29.24,-6.35,0.28,-0.77,0.66,Aufheben,David,big,L,table,False
1.424,1.491,3.11,35.22,-8.79,0.4,-0.84,0.64,Aufheben,David,big,L,table,False
1.436,1.5,8.48,44.13,-3.72,0.07,-0.85,0.52,Aufheben,David,big,L,table,False
1.448,1.513,26.61,11.05,-10.5,-0.13,-1.05,0.56,Aufheben,David,big,L,table,False
1.46,1.522,54.57,-41.44,-21.36,0.09,-0.86,0.61,Aufheben,David,big,L,table,False
1.472,1.538,39.73,-77.15,-33.33,0.38,-0.62,0.75,Aufheben,David,big,L,table,False
1.484,1.555,10.38,-83.68,-16.54,0.49,-0.73,0.83,Aufheben,David,big,L,table,False
1.496,1.565,-5.92,-102.84,-15.5,0.39,-0.8,0.79,Aufheben,David,big,L,table,False
1.508,1.584,-17.33,-136.78,-16.48,0.64,-0.9,0.79,Aufheben,David,big,L,table,False
1.52,1.597,-1.65,-127.26,-16.54,0.83,-0.86,0.76,Aufheben,David,big,L,table,False
1.532,1.597,5.43,-78.0,-15.93,0.58,-0.81,0.77,Aufheben,David,big,L,table,False
1.544,1.606,1.22,-38.02,-25.33,0.28,-0.77,0.74,Aufheben,David,big,L,table,False
1.556,1.622,0.55,-51.03,-16.85,0.3,-0.74,0.67,Aufheben,David,big,L,table,False
1.569,1.637,-11.96,-91.0,-13.43,0.31,-0.69,0.68,Aufheben,David,big,L,table,False
1.581,1.656,-23.38,-106.99,8.0,0.44,-0.69,0.62,Aufheben,David,big,L,table,False
1.593,1.668,-14.71,-92.53,15.5,0.16,-0.7,0.62,Aufheben,David,big,L,table,False
1.605,1.68,-18.8,-109.13,5.92,0.14,-0.77,0.66,Aufheben,David,big,L,table,False
1.617,1.688,-14.89,-132.57,-5.19,0.39,-0.73,0.63,Aufheben,David,big,L,table,False
1.629,1.696,-15.99,-135.25,-15.08,0.42,-0.86,0.55,Aufheben,David,big,L,table,False
1.641,1.706,-16.36,-135.62,-20.45,0.69,-0.98,0.41,Aufheben,David,big,L,table,False
1.653,1.721,-2.26,-87.59,-18.01,0.67,-0.91,0.38,Aufheben,David,big,L,table,False
1.665,1.734,10.56,-41.38,-16.17,0.46,-0.82,0.43,Aufheben,David,big,L,table,False
1.677,1.741,18.49,-26.31,-20.26,0.37,-0.85,0.48,Aufheben,David,big,L,table,False
1.689,1.763,18.92,-44.56,-24.78,0.13,-0.78,0.53,Aufheben,David,big,L,table,False
1.701,1.768,15.26,-93.2,-30.94,0.11,-0.78,0.6,Aufheben,David,big,L,table,False
1.713,1.781,9.58,-119.02,-31.8,0.42,-0.78,0.53,Aufheben,David,big,L,table,False
1.725,1.79,5.92,-105.71,-33.33,0.58,-0.87,0.46,Aufheben,David,big,L,table,False
1.737,1.798,12.27,-75.56,-32.17,0.45,-0.86,0.42,Aufheben,David,big,L,table,False
1.749,1.818,13.31,-59.27,-30.4,0.52,-1.03,0.45,Aufheben,David,big,L,table,False
1.761,1.825,25.02,-24.96,-37.41,0.61,-0.94,0.47,Aufheben,David,big,L,table,False
1.773,1.836,20.32,-17.03,-37.05,0.53,-1.08,0.46,Aufheben,David,big,L,table,False
1.785,1.862,30.94,-29.24,-44.49,0.58,-1.15,0.46,Aufheben,David,big,L,table,False
1.797,1.886,36.68,-42.3,-51.45,0.65,-1.07,0.54,Aufheben,David,big,L,table,False
1.809,1.886,32.59,-58.78,-49.99,0.68,-1.06,0.62,Aufheben,David,big,L,table,False
1.821,1.926,31.43,-52.67,-49.13,0.65,-0.96,0.64,Aufheben,David,big,L,table,False
1.833,1.926,23.86,-41.69,-47.73,0.47,-0.83,0.65,Aufheben,David,big,L,table,False
1.845,1.934,12.82,-39.67,-48.34,0.39,-0.83,0.61,Aufheben,David,big,L,table,False
1.857,1.934,2.2,-45.17,-53.83,0.41,-0.87,0.55,Aufheben,David,big,L,table,False
1.869,1.934,-2.2,-44.19,-60.73,0.51,-0.88,0.51,Aufheben,David,big,L,table,False
1.881,1.944,-1.95,-36.8,-68.24,0.54,-0.92,0.44,Aufheben,David,big,L,table,False
1.893,1.988,3.97,-28.75,-74.58,0.64,-0.85,0.45,Aufheben,David,big,L,table,False
1.905,1.988,6.53,-19.84,-75.5,0.69,-0.8,0.5,Aufheben,David,big,L,table,False
1.917,2.061,8.54,-13.43,-74.16,0.78,-0.84,0.52,Aufheben,David,big,L,table,False
1.929,2.061,13.0,-11.29,-73.12,0.82,-0.83,0.59,Aufheben,David,big,L,table,False
1.941,2.32,13.12,-7.26,-72.39,0.7,-0.82,0.59,Aufheben,David,big,L,table,False
1.953,2.32,16.24,-15.63,-77.03,0.65,-0.87,0.48,Aufheben,David,big,L,table,False
1.965,2.32,25.88,-18.68,-80.08,0.74,-0.78,0.47,Aufheben,David,big,L,table,False
1.977,2.32,29.85,-9.77,-79.1,0.73,-0.62,0.5,Aufheben,David,big,L,table,False
1.989,2.32,27.95,-3.54,-77.64,0.68,-0.61,0.54,Aufheben,David,big,L,table,False
2.001,2.32,26.25,1.34,-77.27,0.56,-0.56,0.54,Aufheben,David,big,L,table,False
2.013,2.32,15.87,-11.11,-77.09,0.53,-0.58,0.47,Aufheben,David,big,L,table,False
2.025,2.32,14.59,-21.79,-76.35,0.57,-0.63,0.45,Aufheben,David,big,L,table,False
2.037,2.32,14.4,-23.44,-77.58,0.63,-0.6,0.46,Aufheben,David,big,L,table,False
2.07,2.32,14.71,-15.38,-71.53,0.65,-0.61,0.32,Aufheben,David,big,L,table,False
2.082,2.32,20.94,-9.09,-64.51,0.62,-0.56,0.31,Aufheben,David,big,L,table,False
2.094,2.32,24.35,-6.71,-58.72,0.64,-0.52,0.25,Aufheben,David,big,L,table,False
2.106,2.32,24.84,-8.85,-49.99,0.51,-0.54,0.15,Aufheben,David,big,L,table,False
2.118,2.32,31.19,-7.57,-44.56,0.57,-0.56,0.19,Aufheben,David,big,L,table,False
2.13,2.32,36.87,-6.77,-39.79,0.61,-0.41,0.31,Aufheben,David,big,L,table,False
2.142,2.32,24.78,-7.26,-35.4,0.57,-0.57,0.31,Aufheben,David,big,L,table,False
2.154,2.32,30.64,-8.48,-34.12,0.56,-0.56,0.33,Aufheben,David,big,L,table,False
2.166,2.32,34.12,-10.31,-30.33,0.47,-0.55,0.31,Aufheben,David,big,L,table,False
2.178,2.32,33.94,-18.49,-29.6,0.47,-0.52,0.36,Aufheben,David,big,L,table,False
2.19,2.32,31.92,-26.49,-26.43,0.56,-0.54,0.36,Aufheben,David,big,L,table,False
2.202,2.32,31.13,-22.83,-22.64,0.61,-0.51,0.34,Aufheben,David,big,L,table,False
2.214,2.32,31.92,-20.81,-17.94,0.67,-0.51,0.34,Aufheben,David,big,L,table,False
2.226,2.32,33.94,-21.24,-14.22,0.68,-0.51,0.38,Aufheben,David,big,L,table,False
2.238,2.327,33.33,-15.87,-12.15,0.75,-0.51,0.4,Aufheben,David,big,L,table,False
2.25,2.327,36.13,-10.13,-7.39,0.69,-0.51,0.41,Aufheben,David,big,L,table,False
2.262,2.327,36.56,-11.6,-4.27,0.65,-0.49,0.45,Aufheben,David,big,L,table,False
2.274,2.335,36.19,-18.55,-0.12,0.66,-0.47,0.53,Aufheben,David,big,L,table,False
2.286,2.348,33.94,-26.18,2.87,0.67,-0.44,0.5,Aufheben,David,big,L,table,False
2.298,2.372,31.98,-28.87,4.33,0.78,-0.39,0.47,Aufheben,David,big,L,table,False
2.31,2.388,32.29,-25.09,10.8,0.82,-0.35,0.47,Aufheben,David,big,L,table,False
2.322,2.398,30.88,-15.99,14.16,0.81,-0.35,0.47,Aufheben,David,big,L,table,False
2.334,2.406,30.64,-7.57,17.58,0.77,-0.36,0.49,Aufheben,David,big,L,table,False
2.346,2.413,29.17,-3.72,17.09,0.73,-0.35,0.53,Aufheben,David,big,L,table,False
2.358,2.422,25.7,-2.44,18.8,0.73,-0.36,0.52,Aufheben,David,big,L,table,False
2.37,2.435,23.01,-7.08,17.46,0.75,-0.36,0.52,Aufheben,David,big,L,table,False
2.382,2.444,20.81,-8.3,17.09,0.74,-0.35,0.51,Aufheben,David,big,L,table,False
2.395,2.46,17.7,-9.7,17.03,0.72,-0.37,0.51,Aufheben,David,big,L,table,False
2.407,2.476,17.58,-11.96,17.58,0.71,-0.42,0.52,Aufheben,David,big,L,table,False
2.419,2.483,19.65,-7.32,18.07,0.73,-0.41,0.54,Aufheben,David,big,L,table,False
2.431,2.497,22.03,-0.31,19.9,0.71,-0.4,0.56,Aufheben,David,big,L,table,False
2.443,2.517,23.86,-0.24,20.87,0.71,-0.41,0.6,Aufheben,David,big,L,table,False
2.455,2.527,25.02,-3.42,23.68,0.71,-0.42,0.6,Aufheben,David,big,L,table,False
2.467,2.534,25.82,-7.39,24.41,0.76,-0.4,0.63,Aufheben,David,big,L,table,False
2.479,2.541,25.09,-12.57,25.27,0.76,-0.41,0.66,Aufheben,David,big,L,table,False
2.491,2.558,26.73,-16.11,24.9,0.77,-0.36,0.65,Aufheben,David,big,L,table,False
2.503,2.575,26.92,-15.5,23.86,0.81,-0.37,0.65,Aufheben,David,big,L,table,False
2.515,2.586,25.82,-10.56,23.19,0.83,-0.39,0.63,Aufheben,David,big,L,table,False
2.527,2.594,25.63,-5.8,21.97,0.8,-0.43,0.6,Aufheben,David,big,L,table,False
2.539,2.612,25.7,-2.69,20.69,0.79,-0.43,0.6,Aufheben,David,big,L,table,False
2.551,2.62,26.67,-4.64,21.73,0.8,-0.49,0.61,Aufheben,David,big,L,table,False
2.563,2.629,28.32,-6.35,23.19,0.76,-0.56,0.64,Aufheben,David,big,L,table,False
2.575,2.641,30.03,-6.71,24.05,0.67,-0.57,0.68,Aufheben,David,big,L,table,False
2.587,2.655,31.74,-10.86,22.95,0.61,-0.58,0.69,Aufheben,David,big,L,table,False
2.599,2.661,31.74,-14.65,22.89,0.59,-0.56,0.71,Aufheben,David,big,L,table,False
2.611,2.814,31.01,-12.82,23.01,0.58,-0.55,0.68,Aufheben,David,big,L,table,False
2.623,2.814,30.58,-7.14,21.42,0.53,-0.51,0.67,Aufheben,David,big,L,table,False
2.635,2.814,30.7,-9.34,22.16,0.51,-0.55,0.67,Aufheben,David,big,L,table,False
2.647,2.814,29.54,-16.11,19.53,0.49,-0.53,0.69,Aufheben,David,big,L,table,False
2.659,2.814,26.98,-30.82,20.69,0.5,-0.54,0.69,Aufheben,David,big,L,table,False
2.671,2.814,23.32,-42.66,20.08,0.59,-0.54,0.69,Aufheben,David,big,L,table,False
2.683,2.814,21.0,-38.88,20.14,0.71,-0.58,0.62,Aufheben,David,big,L,table,False
2.695,2.814,24.48,-27.89,22.03,0.68,-0.59,0.67,Aufheben,David,big,L,table,False
2.707,2.814,28.44,-24.9,24.66,0.67,-0.6,0.69,Aufheben,David,big,L,table,False
2.719,2.814,31.13,-24.9,27.83,0.65,-0.58,0.7,Aufheben,David,big,L,table,False
2.731,2.814,33.45,-32.17,27.77,0.65,-0.54,0.69,Aufheben,David,big,L,table,False
2.743,2.814,34.0,-34.67,28.5,0.66,-0.52,0.68,Aufheben,David,big,L,table,False
2.755,2.822,38.33,-35.22,29.3,0.67,-0.52,0.71,Aufheben,David,big,L,table,False
2.767,2.829,40.22,-35.64,29.97,0.65,-0.52,0.71,Aufheben,David,big,L,table,False
2.779,2.842,41.87,-39.49,30.4,0.64,-0.55,0.72,Aufheben,David,big,L,table,False
2.791,2.853,45.53,-35.52,30.7,0.64,-0.56,0.71,Aufheben,David,big,L,table,False
2.803,2.876,49.32,-29.91,30.33,0.58,-0.55,0.71,Aufheben,David,big,L,table,False
2.815,2.89,54.57,-30.21,31.74,0.54,-0.55,0.72,Aufheben,David,big,L,table,False
2.827,2.914,55.97,-32.59,32.35,0.52,-0.54,0.72,Aufheben,David,big,L,table,False
2.839,2.922,56.7,-38.82,31.31,0.54,-0.55,0.7,Laufen,David,big,L,table,False
2.851,2.922,57.5,-41.08,30.76,0.54,-0.53,0.67,Laufen,David,big,L,table,False
2.863,2.94,60.12,-45.23,29.72,0.51,-0.52,0.68,Laufen,David,big,L,table,False
2.875,2.948,61.04,-46.51,29.6,0.47,-0.53,0.68,Laufen,David,big,L,table,False
2.887,2.953,62.01,-50.72,29.05,0.49,-0.54,0.67,Laufen,David,big,L,table,False
2.899,2.962,61.46,-53.65,26.49,0.51,-0.56,0.64,Laufen,David,big,L,table,False
2.911,2.994,63.84,-51.94,26.86,0.52,-0.57,0.63,Laufen,David,big,L,table,False
2.923,2.994,66.89,-49.56,29.48,0.49,-0.58,0.62,Laufen,David,big,L,table,False
2.935,3.004,70.31,-52.25,31.13,0.47,-0.57,0.62,Laufen,David,big,L,table,False
2.947,3.013,71.41,-57.56,33.51,0.48,-0.57,0.64,Laufen,David,big,L,table,False
2.959,3.023,71.17,-63.05,34.36,0.49,-0.57,0.63,Laufen,David,big,L,table,False
2.971,3.037,72.39,-68.05,36.25,0.54,-0.6,0.66,Laufen,David,big,L,table,False
2.983,3.044,74.1,-69.03,37.72,0.56,-0.62,0.66,Laufen,David,big,L,table,False
2.995,3.057,76.35,-72.33,39.67,0.54,-0.63,0.64,Laufen,David,big,L,table,False
3.007,3.076,77.51,-75.38,42.05,0.54,-0.65,0.64,Laufen,David,big,L,table,False
3.019,3.091,79.04,-79.65,42.66,0.53,-0.65,0.62,Laufen,David,big,L,table,False
3.031,3.099,81.48,-81.79,43.58,0.54,-0.64,0.61,Laufen,David,big,L,table,False
3.043,3.111,83.13,-85.45,43.76,0.56,-0.61,0.6,Laufen,David,big,L,table,False
3.055,3.121,83.92,-82.58,45.9,0.58,-0.63,0.57,Laufen,David,big,L,table,False
3.067,3.129,85.02,-83.56,46.26,0.55,-0.59,0.56,Laufen,David,big,L,table,False
3.1,3.163,90.27,-89.05,47.12,0.56,-0.59,0.57,Laufen,David,big,L,table,False
3.112,3.201,91.31,-93.69,47.85,0.57,-0.6,0.56,Laufen,David,big,L,table,False
3.124,3.209,95.34,-93.75,47.91,0.61,-0.59,0.56,Laufen,David,big,L,table,False
3.136,3.209,96.01,-93.2,49.07,0.62,-0.59,0.55,Laufen,David,big,L,table,False
3.148,3.222,99.79,-92.77,49.13,0.64,-0.59,0.56,Laufen,David,big,L,table,False
3.16,3.23,102.78,-94.06,50.78,0.61,-0.58,0.57,Laufen,David,big,L,table,False
3.172,3.236,105.04,-95.83,52.67,0.62,-0.57,0.56,Laufen,David,big,L,table,False
3.184,3.246,108.4,-97.11,52.86,0.62,-0.54,0.54,Laufen,David,big,L,table,False
3.196,3.259,111.02,-97.78,54.08,0.66,-0.55,0.52,Laufen,David,big,L,table,False
3.209,3.272,114.62,-99.67,55.54,0.67,-0.54,0.52,Laufen,David,big,L,table,False
3.221,3.294,117.37,-100.59,55.91,0.68,-0.55,0.53,Laufen,David,big,L,table,False
3.233,3.301,116.76,-100.16,55.66,0.72,-0.56,0.52,Laufen,David,big,L,table,False
3.245,3.31,118.1,-99.43,56.58,0.72,-0.53,0.5,Laufen,David,big,L,table,False
3.258,3.327,118.59,-98.02,56.82,0.73,-0.54,0.5,Laufen,David,big,L,table,False
3.27,3.336,119.2,-98.27,57.19,0.69,-0.52,0.51,Laufen,David,big,L,table,False
3.282,3.347,119.08,-99.67,58.78,0.7,-0.5,0.49,Laufen,David,big,L,table,False
3.294,3.355,119.26,-100.22,59.08,0.68,-0.47,0.49,Laufen,David,big,L,table,False
3.306,3.377,119.69,-100.22,60.49,0.73,-0.46,0.51,Laufen,David,big,L,table,False
3.318,3.395,117.55,-99.06,60.24,0.72,-0.45,0.51,Laufen,David,big,L,table,False
3.33,3.401,116.94,-98.57,62.13,0.72,-0.46,0.52,Laufen,David,big,L,table,False
3.342,3.409,116.39,-98.33,61.77,0.72,-0.47,0.52,Laufen,David,big,L,table,False
3.354,3.421,115.11,-99.79,62.13,0.75,-0.46,0.54,Laufen,David,big,L,table,False
3.367,3.43,115.91,-99.61,61.34,0.78,-0.45,0.54,Laufen,David,big,L,table,False
3.379,3.441,114.38,-96.19,61.77,0.8,-0.44,0.54,Laufen,David,big,L,table,False
3.391,3.457,113.83,-96.86,62.44,0.81,-0.43,0.55,Laufen,David,big,L,table,False
