model,accuracy,precision_both_hands,recall_both_hands,f1_both_hands,precision_one_hand,recall_one_hand,f1_one_hand,macro_f1,weighted_f1,tn,fp,fn,tp
Random Forest,0.8837209302325582,0.9705882352941176,0.7857142857142857,0.8684210526315789,0.8269230769230769,0.9772727272727273,0.8958333333333334,0.8821271929824561,0.8824459404324766,33,9,1,43
SVM,0.8255813953488372,0.8292682926829268,0.8095238095238095,0.8192771084337348,0.8222222222222222,0.8409090909090909,0.8314606741573033,0.825368891295519,0.8255105606643977,34,8,7,37
KNN,0.813953488372093,0.782608695652174,0.8571428571428571,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095,0.8138528138528138,0.8137521393335349,36,6,10,34
Logistic Regression,0.8023255813953488,0.7659574468085106,0.8571428571428571,0.8089887640449439,0.8461538461538461,0.75,0.7951807228915662,0.802084743468255,0.8019241848501925,36,6,11,33
